molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,lipinski
CHEMBL3582305,0.13,nM,CNC(=O)c1ccc(-c2cnc3nnc(Cc4ccc5ncccc5c4)n3n2)cc1F,9.886056647693165,413.14003635200004,7,1,2.8240000000000007,True
CHEMBL3188267,0.13,nM,CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F,9.886056647693165,412.1447873840001,6,1,3.429000000000002,True
CHEMBL3797911,0.19,nM,COc1ccc2c(OCc3nnc4ncc(-c5ccccc5)nn34)ccnc2c1,9.721246399047171,384.13347375200004,8,0,3.3221000000000007,True
CHEMBL3674547,0.2,nM,C/C(=N\NC(N)=O)c1cnc2nnn(Cc3cc4cccnc4cc3F)c2n1,9.69897000433602,379.13053428800004,8,2,1.3491999999999986,True
CHEMBL2032280,0.2,nM,Cc1c(O)ccc2nc(-c3cc(-c4cnn(C5CCNCC5)c4)cnc3N)oc12.O=C(O)C(F)(F)F,9.69897000433602,504.173287876,9,4,3.9073200000000012,True
CHEMBL3674540,0.2,nM,N=C(NNC(N)=O)c1cnc2nnn(Cc3ccc4ncccc4c3)c2n1,9.69897000433602,362.135205068,8,4,0.3160700000000001,True
CHEMBL3674521,0.2,nM,C/C(=N\NC(N)=O)c1ccc2nnc([C@@H](C)c3ccc4ncccc4c3)n2n1,9.69897000433602,374.16035719600006,7,2,2.2165999999999997,True
CHEMBL4104884,0.3,nM,CC(c1c(F)cc2ncc(-c3cnn(C)c3)cc2c1F)n1nnc2ncc(-c3ccc(C(N)=O)c(F)c3)nc21,9.522878745280336,529.1586408560001,9,1,3.9625000000000012,True
CHEMBL4061378,0.3,nM,CC(c1ccc2ncc(-c3cnn(C)c3)cc2c1)n1nnc2ncc(-c3ccncc3)nc21,9.522878745280336,433.1763416080001,9,0,3.841300000000002,True
CHEMBL3674541,0.3,nM,NC(=O)N/N=C/c1cnc2nnn(Cc3ccc4ncccc4c3)c2n1,9.522878745280336,347.12430603600006,8,2,0.8199999999999987,True
CHEMBL3674515,0.3,nM,C/C(=N\NC(N)=O)c1ccc2nnc(Cc3c(F)cc4ncccc4c3F)n2n1,9.522878745280336,396.12586350800007,7,2,1.9337999999999997,True
CHEMBL2376640,0.32,nM,C[C@@H](Oc1c[nH]c(=O)c(C(=O)NC2CCOCC2)c1)c1c(Cl)ccc(F)c1Cl,9.494850021680094,428.070590668,4,2,3.869600000000002,True
CHEMBL3651418,0.4,nM,CC(N=O)c1ccc2nnc(Cc3c(F)cc4ncccc4c3F)n2n1,9.397940008672036,354.10406544400007,7,0,3.368900000000002,True
CHEMBL3674505,0.4,nM,C/C(=N\NC(N)=O)c1ccc2ncc([C@@H](C)c3ccc4ncccc4c3)n2n1,9.397940008672036,373.16510822800007,6,2,2.821600000000001,True
