molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,lipinski
CHEMBL3582305,0.13,nM,CNC(=O)c1ccc(-c2cnc3nnc(Cc4ccc5ncccc5c4)n3n2)cc1F,9.886056647693165,413.140036352,7,1,2.8240000000000007,True
CHEMBL3188267,0.13,nM,CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F,9.886056647693165,412.1447873840001,6,1,3.429000000000002,True
CHEMBL3797911,0.19,nM,COc1ccc2c(OCc3nnc4ncc(-c5ccccc5)nn34)ccnc2c1,9.721246399047171,384.133473752,8,0,3.3221000000000007,True
CHEMBL2032280,0.2,nM,Cc1c(O)ccc2nc(-c3cc(-c4cnn(C5CCNCC5)c4)cnc3N)oc12.O=C(O)C(F)(F)F,9.69897000433602,504.173287876,9,4,3.907320000000001,True
CHEMBL4104884,0.3,nM,CC(c1c(F)cc2ncc(-c3cnn(C)c3)cc2c1F)n1nnc2ncc(-c3ccc(C(N)=O)c(F)c3)nc21,9.522878745280336,529.1586408560001,9,1,3.962500000000001,True
CHEMBL4061378,0.3,nM,CC(c1ccc2ncc(-c3cnn(C)c3)cc2c1)n1nnc2ncc(-c3ccncc3)nc21,9.522878745280336,433.1763416080001,9,0,3.841300000000002,True
CHEMBL3651418,0.4,nM,CC(N=O)c1ccc2nnc(Cc3c(F)cc4ncccc4c3F)n2n1,9.397940008672036,354.10406544400007,7,0,3.368900000000002,True
CHEMBL4097173,0.4,nM,CC(c1c(F)cc2ncc(-c3cnn(C)c3)cc2c1F)n1nnc2ncc(-c3cnn(C)c3)nc21,9.397940008672036,472.1683970160002,10,0,3.458000000000001,True
CHEMBL3800471,0.42,nM,Oc1cccc(-c2cnc3nnc(Cc4ccc5ncccc5c4)n3n2)c1,9.3767507096021,354.12290906800007,7,1,3.030900000000001,True
CHEMBL4214018,0.44,nM,Cn1cc(-c2ccc(=O)n(CCOc3ccnc4cc(OCc5ccc(C(=O)Nc6ccccc6N)cc5)ccc34)n2)cn1,9.356547323513812,587.2281024079999,10,2,4.6845000000000026,True
CHEMBL3797914,0.46,nM,Cn1cc(-c2cnc3nnc(Cc4ccc5ncccc5c4)n3n2)cn1,9.337242168318426,342.13414244800003,8,0,2.0588,True
CHEMBL3797579,0.46,nM,Fc1ccc(-c2cnc3nnc(C(F)(F)c4ccc5ncccc5c4)n3n2)cc1,9.337242168318426,392.09972901200007,6,0,4.013700000000003,True
CHEMBL4074262,0.48,nM,CC(c1cc2cc(-c3cnn(C)c3)cnc2cc1F)n1nnc2ncc(-c3cnn(CCO)c3)nc21,9.318758762624412,484.18838351200014,11,1,2.7742000000000004,True
CHEMBL3799192,0.49,nM,c1ccc(-c2cnc3nnc(Cc4ccc5ncccc5c4)n3n2)cc1,9.309803919971486,338.12799444800004,6,0,3.3253000000000013,True
CHEMBL4064183,0.5,nM,CC(c1ccc2ncc(-c3cnn(C)c3)cc2c1)n1nnc2ncc(-c3cnn(CCO)c3)nc21,9.30102999566398,466.19780532400006,11,1,2.6351,True
CHEMBL4091023,0.5,nM,CNC(=O)c1ccc(-c2cnc3nnn(C(C)c4ccc5ncc(-c6cnn(C)c6)cc5c4)c3n2)cc1F,9.30102999566398,507.1931345440001,9,1,3.945000000000003,True
CHEMBL4076438,0.5,nM,CC(c1c(F)cc2ncc(-c3cnn(C)c3)cc2c1F)n1nnc2ncc(-c3ccncc3)nc21,9.30102999566398,469.1574979840002,9,0,4.119500000000002,True
CHEMBL2431835,0.5,nM,C[C@@H](c1ccc2ncccc2c1)n1nnc2ncc(-c3cnn(CCO)c3)nc21,9.30102999566398,386.160357196,9,1,2.2345999999999995,True
CHEMBL3798905,0.5,nM,FC(F)(c1ccc2ncccc2c1)c1nnc2ncc(-c3ccco3)nn12,9.30102999566398,364.08841538,7,0,3.467600000000002,True
CHEMBL3800420,0.5,nM,Cn1cc(-c2cnc3nnc(C(F)(F)c4ccc5ncccc5c4)n3n2)cn1,9.30102999566398,378.115298824,8,0,2.6080999999999994,True
CHEMBL4073110,0.5,nM,CC(c1ccc2ncc(-c3cnn(C)c3)cc2c1)n1nnc2ncc(-c3cnn(C)c3)nc21,9.30102999566398,436.1872406400001,10,0,3.179800000000001,True
CHEMBL3800559,0.59,nM,COc1cccc(-c2cnc3nnc(Cc4ccc5ncccc5c4)n3n2)c1,9.229147988357855,368.13855913200007,7,0,3.3339000000000008,True
CHEMBL4060354,0.6,nM,CC(c1cc2cc(-c3cnn(C)c3)cnc2cc1F)n1nnc2ncc(-c3ccc(C(N)=O)c(F)c3)nc21,9.221848749616356,511.1680626680001,9,1,3.823400000000001,True
CHEMBL4083235,0.7,nM,CC(c1cc2cc(-c3cnn(C)c3)cnc2cc1F)n1nnc2ncc(-c3cnn(C)c3)nc21,9.154901959985745,454.17781882800017,10,0,3.318900000000001,True
CHEMBL4070051,0.7,nM,CC(c1ccc2ncc(-c3cnn(C)c3)cc2c1)n1nnc2ncc(-c3ccc(C(N)=O)c(F)c3)nc21,9.154901959985745,493.17748448,9,1,3.684300000000001,True
CHEMBL3818247,0.7,nM,CN1C(=O)COc2c1cnc1ccc(Sc3nnc4c(F)cc(-c5cnn(C)c5)cn34)cc21,9.154901959985745,461.107021972,9,0,3.323500000000002,True
CHEMBL2431834,0.7,nM,C[C@@H](c1ccc2ncccc2c1)n1nnc2ncc(-c3cnn(C)c3)nc21,9.154901959985745,356.14979251200003,8,0,2.7793,True
CHEMBL4068290,0.7,nM,CC(c1cc2cc(-c3cnn(C)c3)cnc2cc1F)n1nnc2ncc(-c3ccncc3)nc21,9.154901959985745,451.1669197960001,9,0,3.980400000000002,True
CHEMBL3093582,0.77,nM,Cc1ccc(C(=O)Nc2ccc(Oc3ccc4nc(NC(=O)C5CC5)cn4n3)c(F)c2)c(=O)n1-c1ccccc1,9.113509274827518,538.1764814359999,8,2,4.7208200000000025,True
CHEMBL4873571,0.8,nM,CC(C)n1cc(C(=O)Nc2ccc(Oc3ccnc(NC(=O)C4CC4)c3)c(F)c2)c(=O)n(-c2ccc(F)cc2)c1=O,9.096910013008056,561.18237534,8,2,4.6464000000000025,True
CHEMBL3582301,0.9,nM,O=C(NC1CCCNC1)c1ccc(-c2cc(F)c3ncc(Cc4ccc5ncccc5c4)n3c2)cc1F,9.045757490560677,497.20271686000007,5,2,4.900300000000004,True
CHEMBL3799263,0.9,nM,CCCn1cc(-c2cnc3nnc(C(F)(F)c4ccc5ncccc5c4)n3n2)cn1,9.045757490560677,406.1465989520001,8,0,3.4811000000000014,True
CHEMBL4075149,0.9,nM,CNC(=O)c1ccc(-c2cnc3nnn(C(C)c4c(F)cc5ncc(-c6cnn(C)c6)cc5c4F)c3n2)cc1F,9.045757490560677,543.1742909200001,9,1,4.223200000000003,True
CHEMBL4209005,0.96,nM,Cn1cc(-c2ccc(=O)n(CCOc3ccnc4cc(OCCCCCC(=O)Nc5ccccc5N)ccc34)n2)cn1,9.017728766960431,567.259402536,10,2,4.4311000000000025,True
CHEMBL3703976,1.0,nM,C[C@H]1CN(c2cnc3ccc(Sc4nnc5c(F)cc(-c6cnn(C)c6)cn45)cc3c2)C[C@@H](C)N1,9.0,488.19069202000014,9,1,4.154900000000002,True
CHEMBL2029565,1.0,nM,COc1cnc2ccc([C@H](C)n3nnc4ccn(-c5cc(C)ns5)c(=O)c43)cc2c1,9.0,418.121194816,9,0,3.5132200000000022,True
CHEMBL3659622,1.0,nM,Cc1nc([C@H](C)NC(=O)c2ccc(-c3cnc4ncc(Cc5ccc6ncccc6c5)n4n3)cc2Cl)no1,9.0,524.1475995920001,9,1,4.766120000000004,True
CHEMBL2029563,1.0,nM,COCCOc1cnc2ccc(Cn3nnc4ccn(-c5cc(C)ns5)c(=O)c43)cc2c1,9.0,448.1317595,10,0,2.968820000000002,True
CHEMBL2170816,1.0,nM,Cn1cc(-c2cnc3nnn(Cc4ccc5ncccc5c4)c3n2)cn1,9.0,342.13414244800003,8,0,2.2183,True
CHEMBL3703980,1.0,nM,COC1CCN(c2cnc3ccc(Sc4nnc5c(F)cc(-c6cnn(C)c6)cn45)cc3c2)CC1,9.0,489.17470760800006,9,0,4.583500000000004,True
CHEMBL3659621,1.0,nM,CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1Cl,9.0,428.1152368440001,6,1,3.9433000000000025,True
CHEMBL2029678,1.0,nM,COCCOc1cnc2ccc([C@H](C)n3nnc4ccn(-c5cc(C)ns5)c(=O)c43)cc2c1,9.0,462.147409564,10,0,3.529820000000002,True
CHEMBL3703988,1.0,nM,Cn1cc(-c2ccc3nnc(Sc4ccc5ncc(NCCO)cc5c4)n3c2)cn1,9.0,417.137179228,9,2,3.2334000000000005,True
CHEMBL2133806,1.0,nM,Cn1cc(-c2ccc3nnc(C(F)(F)c4ccc5ncccc5c4)n3n2)cn1,9.0,377.1200498560001,7,0,3.2131000000000016,True
CHEMBL3659623,1.0,nM,CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cn1,9.0,395.1494581640001,7,1,2.6849000000000007,True
CHEMBL2323783,1.0,nM,O=c1c2cc(CS(=O)(=O)NCc3ccccn3)ccc2ccc2ncc(-c3cnn(C4CCNCC4)c3)cc12,9.0,540.1943597560002,8,2,3.550800000000001,True
CHEMBL3659624,1.0,nM,CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1C,9.0,408.16985926000007,6,1,3.598320000000002,True
CHEMBL3703999,1.0,nM,Cn1cc(-c2cc(F)c3nnc(Sc4ccc5ncc(N6CCC(F)(F)CC6)cc5c4)n3c2)cn1,9.0,495.1452993000001,8,0,5.203800000000004,True
CHEMBL3648323,1.0,nM,CC1=NC(C)=C(C#N)C(c2ccc3[nH]nc(OCCOC(C)C)c3c2)C1C#N,9.0,377.185174976,6,1,3.862160000000002,True
CHEMBL4208236,1.0,nM,CC(=O)CCCCCOc1ccc2c(OCCn3nc(-c4cnn(C)c4)ccc3=O)ccnc2c1,9.0,475.2219544080001,9,0,3.7992000000000026,True
CHEMBL462624,1.0,nM,Nc1nccc(Oc2ccc(NC(=O)c3cccn(-c4ccc(F)cc4)c3=O)cc2F)c1Cl,9.0,468.08007446,6,2,4.790900000000002,True
CHEMBL3659620,1.0,nM,C[C@@H](O)CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F,9.0,456.17100213200007,7,2,3.180000000000001,True
CHEMBL3786898,1.0,nM,Cn1cc(-c2ccc3c(OCCn4c(=O)oc5cc(-c6cnn(C)c6)ccc54)ccnc3c2)cn1,9.0,466.1753385640001,9,0,4.022700000000003,True
CHEMBL3785909,1.0,nM,COCCOc1cnc2ccn([C@H](C)c3nnc4c(F)cc(-c5cnn(C)c5)cn34)c(=O)c2c1,9.0,463.176815784,10,0,2.6133000000000006,True
CHEMBL4092293,1.0,nM,CNC(=O)c1ccc(-c2cnc3nnn(C(C)c4cc5cc(-c6cnn(C)c6)cnc5cc4F)c3n2)cc1F,9.0,525.1837127320001,9,1,4.084100000000003,True
CHEMBL3703945,1.0,nM,CN1CCC(Nc2cnc3ccc(Sc4nnc5c(F)cc(-c6cnn(C)c6)cn45)cc3c2)CC1,9.0,488.1906920200001,9,1,4.474400000000004,True
CHEMBL3787004,1.0,nM,COc1cnc2ccn([C@H](C)c3nnc4c(F)cc(-c5cnn(C)c5)cn34)c(=O)c2c1,9.0,419.15060103600007,9,0,2.5967,True
